 Zone   x     Tgas  mIL   mOLOA mOLIA dCO   dCI   dLO   dLI    AFR    TwLi    TwLo    TwCi    TwCo    eta    TwLiI   TwLoI   TwCiI   TwCoI   etaI
  -     mm     K    kg/s  kg/s  kg/s   m     m     m     m      -      K       K       K       K       %       K       K       K       K       %  
  1    0.0   500.0  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   477.0   476.9   391.0   390.9    0.00   494.6   494.6   455.2   455.0    0.00
  1    2.1   524.8  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   496.0   496.0   400.3   400.2    0.00   516.6   516.6   465.7   465.5    0.00
  1    4.2   549.5  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   515.1   514.9   410.1   410.0    0.00   538.5   538.5   477.1   476.9    0.00
  1    6.3   574.3  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   534.0   533.9   420.4   420.3    0.00   560.4   560.2   489.3   489.0    0.00
  1    8.3   599.1  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   553.0   552.8   431.3   431.2    0.00   582.1   581.9   502.3   502.0    0.00
  1   10.4   623.9  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   571.9   571.7   442.6   442.5    0.00   603.7   603.5   516.0   515.7    0.00
  1   12.5   648.6  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   590.8   590.6   454.5   454.3    0.00   625.2   625.0   530.4   530.1    0.00
  1   14.6   673.4  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   609.8   609.5   466.6   466.4    0.00   646.7   646.4   545.4   545.1    0.00
  1   16.7   698.2  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   628.7   628.4   479.2   479.0    0.00   668.1   667.8   561.1   560.7    0.00
  1   18.8   722.9  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   647.7   647.4   492.2   492.0    0.00   689.4   689.1   577.3   576.8    0.00
  1   20.8   747.7  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   666.7   666.4   505.5   505.2    0.00   710.7   710.3   593.9   593.4    0.00
  1   22.9   772.5  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   685.8   685.4   519.2   518.8    0.00   732.0   731.5   610.9   610.3    0.00
  1   25.0   797.3  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   704.9   704.5   533.0   532.7    0.00   753.2   752.7   628.3   627.6    0.00
  1   27.1   822.0  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   724.1   723.6   547.2   546.9    0.00   774.4   773.9   646.0   645.3    0.00
  1   29.2   846.8  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   743.4   742.8   561.7   561.2    0.00   795.6   795.0   664.0   663.2    0.00
  1   31.3   871.6  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   762.7   762.0   576.3   575.9    0.00   816.7   816.1   682.3   681.5    0.00
  1   33.3   896.3  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   782.0   781.3   591.3   590.8    0.00   837.9   837.2   700.9   699.9    0.00
  1   35.4   921.1  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   801.4   800.7   606.3   605.7    0.00   859.1   858.3   719.5   718.5    0.00
  1   37.5   945.9  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   820.9   820.1   621.5   620.9    0.00   880.3   879.4   738.4   737.3    0.00
  1   39.6   970.7  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   840.5   839.5   636.9   636.2    0.00   901.4   900.5   757.3   756.1    0.00
  1   41.7   995.4  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   860.1   859.0   652.4   651.7    0.00   922.6   921.6   776.5   775.2    0.00
  1   43.8  1020.2  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   879.7   878.6   668.1   667.3    0.00   943.8   942.7   795.6   794.2    0.00
  1   45.8  1045.0  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   899.5   898.3   683.9   683.0    0.00   965.0   963.8   815.1   813.5    0.00
  1   47.9  1069.7  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   919.3   918.0   699.9   698.9    0.00   986.2   985.0   834.5   832.8    0.00
  1   50.0  1094.5  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   939.1   937.7   715.9   714.9    0.00  1007.5  1006.1   853.9   852.0    0.00
  2   51.2  1100.8  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   944.2   942.7   719.9   718.9    0.00  1012.9  1011.5   858.9   857.0    0.00
  2   52.4  1107.1  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   949.2   947.7   724.0   722.9    0.00  1018.3  1016.8   863.9   861.9    0.00
  2   53.6  1113.4  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   954.2   952.7   728.1   727.0    0.00  1023.7  1022.2   868.8   866.8    0.00
  2   54.8  1119.7  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   959.3   957.8   732.2   731.1    0.00  1029.0  1027.6   873.8   871.7    0.00
  2   56.0  1125.9  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   964.4   962.8   736.3   735.1    0.00  1034.4  1032.9   878.7   876.6    0.00
  2   57.2  1132.2  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   969.4   967.8   740.4   739.2    0.00  1039.8  1038.3   883.7   881.5    0.00
  2   58.4  1138.5  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   974.5   972.8   744.5   743.3    0.00  1045.3  1043.7   888.8   886.6    0.00
